r1,r2,t,sub,rs,condition
0.0153743315508023,0.00868983957219259,10,33,-0.00668449197860967,transition
0.00534759358288772,0.0153743315508023,11,33,0.0100267379679145,control
0.0153743315508022,0.0120320855614974,12,33,-0.00334224598930484,transition
0.0153743315508023,0.00534759358288772,13,33,-0.0100267379679145,reward
0.00868983957219259,0.00868983957219259,14,33,0.0,transition
0.00868983957219259,0.00534759358288772,15,33,-0.00334224598930487,reward
0.0120320855614974,0.00868983957219259,16,33,-0.00334224598930481,reward
0.0120320855614974,0.486631016042781,17,33,0.474598930481283,reward
0.00200534759358296,0.0120320855614974,18,33,0.0100267379679144,reward
0.0120320855614974,0.0120320855614974,19,33,-2.60208521396521e-17,reward
0.00534759358288778,0.00200534759358295,20,33,-0.00334224598930482,transition
0.0287433155080214,0.516711229946524,1,34,0.487967914438503,transition
0.984625668449198,0.991310160427807,2,34,0.00668449197860965,reward
0.259358288770054,0.433155080213904,3,34,0.17379679144385,transition
0.0086898395721926,0.904411764705882,4,34,0.89572192513369,reward
0.00200534759358296,0.774064171122995,5,34,0.772058823529412,reward
0.00868983957219259,0.0086898395721926,6,34,1.56125112837913e-17,control
0.00200534759358296,0.00534759358288778,7,34,0.00334224598930481,control
0.00200534759358296,0.0086898395721926,8,34,0.00668449197860964,control
0.00200534759358295,0.997994652406417,9,34,0.995989304812834,transition
0.00200534759358295,0.780748663101604,10,34,0.778743315508021,reward
0.00200534759358295,0.00868983957219259,11,34,0.00668449197860964,control
0.00534759358288778,0.991310160427807,12,34,0.98596256684492,transition
0.00534759358288778,0.971256684491979,13,34,0.965909090909091,transition
0.00200534759358296,0.997994652406417,14,34,0.995989304812834,reward
0.00200534759358295,0.991310160427807,15,34,0.989304812834224,reward
0.00200534759358295,0.997994652406417,16,34,0.995989304812834,transition
0.00200534759358296,0.994652406417112,17,34,0.992647058823529,reward
0.00534759358288772,0.5,18,34,0.494652406417112,transition
0.00200534759358295,0.994652406417112,19,34,0.992647058823529,reward
